"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV121"	"nb_seq"	"nb_seq"	"nb_seq"	0.843011820912145	0	0.252975023338284	0.000861030328615756	0.045574335293632	0.00172131928400472	0.0711217831436494	NA	"prevalence"	185	29
"ASV342"	"nb_seq"	"nb_seq"	"nb_seq"	0.978665133353101	0	0.293503140386792	0.00085474979680879	0.045574335293632	0.00170876899640244	0.0711217831436494	NA	"prevalence"	185	21
"ASV550"	"nb_seq"	"nb_seq"	"nb_seq"	0.751550896969966	0	0.225203209149084	0.00084623312415463	0.045574335293632	0.00169175013780884	0.0711217831436494	NA	"prevalence"	185	36
"ASV769"	"nb_seq"	"nb_seq"	"nb_seq"	0.91647679296649	0	0.275325808922322	0.000872525919649376	0.0457255415119222	0.00174429053781829	0.0712611280394079	NA	"prevalence"	185	26
"ASV749"	"nb_seq"	"nb_seq"	"nb_seq"	-3.08859846535499	-1.24755702628068	0.474451373320936	0.000918497159381415	0.0471362667902292	0.000918497159381415	0.0484008068334902	NA	"abundance"	185	45
"ASV81"	"nb_seq"	"nb_seq"	"nb_seq"	2.48799846621834	-1.24755702628068	0.717825936580674	0.00093559268165766	0.047162781562038	0.00187031002964935	0.0755605251978337	NA	"abundance"	185	16
"ASV842"	"nb_seq"	"nb_seq"	"nb_seq"	0.863397826428219	0	0.262227734408981	0.000992833777536444	0.0486580480046333	0.00198468183616307	0.0793000346844937	NA	"prevalence"	185	23
"ASV799"	"nb_seq"	"nb_seq"	"nb_seq"	0.90837786889981	0	0.276151692156558	0.00100395422550866	0.0487516487671315	0.0020069005269304	0.0793161990860754	NA	"prevalence"	185	17
"ASV587"	"nb_seq"	"nb_seq"	"nb_seq"	1.09693467651881	-1.24755702628068	0.372025568027207	0.00111547049923977	0.0531908590313161	0.00222969672404486	0.0871739493400766	NA	"abundance"	185	18
"ASV1001"	"nb_seq"	"nb_seq"	"nb_seq"	0.819011917883633	0	0.252309762641899	0.00117015331946762	0.0553001921423404	0.00233893738014418	0.0904720884489814	NA	"prevalence"	185	27
